model,task,benchmark,config_id,objective_metric,objective_score,n_features,runtime_seconds,accuracy,precision,recall,f1_score,roc_auc,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,macro_precision,macro_recall,macro_f1,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc,param_subsample,param_reg_lambda,param_min_child_weight,param_learning_rate,param_gamma,param_colsample_bytree,param_validation_fraction,param_learning_rate_init,param_hidden_layer_sizes,param_early_stopping,param_batch_size,param_alpha,param_activation
random_forest,multiclass,time_ablated,5,macro_f1,0.5170620300733109,41,82.63690757751465,0.6090492595091807,,,,,700.0,10.0,4.0,sqrt,20.0,True,0.5511780417115826,0.6123132280834368,0.5170620300733109,0.7323800175259358,0.9782057138833324,0.9481551900405184,0.901147525455633,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,6,macro_f1,0.5354121041297975,41,129.23925876617432,0.6635650104769685,,,,,300.0,10.0,2.0,,20.0,True,0.5548357178662999,0.6454053385526143,0.5354121041297975,0.7745847642597717,0.9831188206761192,0.930395737008232,0.8966748915998812,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,7,macro_f1,0.5076128587959502,41,29.529229402542114,0.5170295130873317,,,,,300.0,10.0,1.0,sqrt,10.0,True,0.5525127140726961,0.6360173240779494,0.5076128587959502,0.6535196807086271,0.9692568148737708,0.9567156182934474,0.9002599136457913,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,8,macro_f1,0.5317778339809137,41,131.21718072891235,0.8327946869339773,,,,,300.0,10.0,1.0,,40.0,True,0.5471125564423984,0.5589152639415631,0.5317778339809137,0.8870677723379562,0.993534932862344,0.9135834682614692,0.8615722352113131,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,9,macro_f1,0.5300751811462765,41,62.53118419647217,0.8053059629932167,,,,,500.0,5.0,2.0,sqrt,40.0,True,0.5471755946708475,0.5616788043803761,0.5300751811462765,0.8705753808998646,0.99250684015971,0.95150486247679,0.8746326993422229,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,10,macro_f1,0.530267761961856,41,34.94517207145691,0.7929999644848528,,,,,300.0,10.0,2.0,log2,,True,0.5536522389620655,0.5602703424871914,0.530267761961856,0.8630294487501976,0.99151845436219,0.9520998363173024,0.8776394143496707,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,11,macro_f1,0.5216528374970036,41,127.05950903892516,0.6644351315836204,,,,,300.0,5.0,2.0,,20.0,True,0.5456111276459893,0.6176457016779222,0.5216528374970036,0.7752086237612769,0.9831988463439684,0.9303315089169816,0.896299141555049,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,12,macro_f1,0.5311615972436118,41,28.03056597709656,0.8346414745889121,,,,,200.0,2.0,1.0,log2,40.0,True,0.5535905216733222,0.5516401538034252,0.5311615972436118,0.8880739982461874,0.9928939475616156,0.8890316275123377,0.8514944382907171,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,13,macro_f1,0.5397889707164479,41,32.576563596725464,0.7476116063501084,,,,,300.0,5.0,4.0,log2,40.0,True,0.5596588528955347,0.5927984965395496,0.5397889707164479,0.8338260343436219,0.9884379433897678,0.953345339241436,0.8824178203758404,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,14,macro_f1,0.5211581538263995,41,48.96776938438416,0.5157332102141563,,,,,500.0,10.0,2.0,sqrt,10.0,True,0.5639026028567874,0.6567345024542915,0.5211581538263995,0.6523478013408092,0.9689716655149928,0.9566840872217888,0.9000800073503454,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,15,macro_f1,0.5178181513657628,41,84.36824345588684,0.6167915616010229,,,,,700.0,5.0,2.0,sqrt,20.0,True,0.5467587337651368,0.6137409229196044,0.5178181513657628,0.7385656376955618,0.9793232080029368,0.9481555587721368,0.900202684870614,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,16,macro_f1,0.5273786088133978,41,21.871994256973267,0.7291614873743651,,,,,200.0,5.0,4.0,log2,30.0,True,0.5519307833996225,0.5786217081297874,0.5273786088133978,0.8214385255078214,0.9869760686880512,0.9544631229376622,0.8865521636130094,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,17,macro_f1,0.5160044185680359,41,88.46657490730286,0.8287814752992151,,,,,200.0,2.0,4.0,,,True,0.5023032222440835,0.5610343089011691,0.5160044185680359,0.8847044560230702,0.9921772878513072,0.9144824619132916,0.8528421634511155,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,18,macro_f1,0.5069926313467626,41,28.30140256881714,0.5156621799197357,,,,,300.0,10.0,2.0,log2,10.0,True,0.5544246616107389,0.6339861938245177,0.5069926313467626,0.652287240828238,0.9687167306252488,0.9572335905390114,0.8999106414289956,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,19,macro_f1,0.5122495696817203,41,166.02257990837097,0.5757538089995383,,,,,500.0,10.0,4.0,,10.0,True,0.514891428032786,0.6593070402762137,0.5122495696817203,0.7049657466129132,0.9717592896695774,0.947556520305871,0.9002611984711281,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,20,macro_f1,0.5181144455036794,41,58.7298059463501,0.6100259260574635,,,,,500.0,5.0,2.0,log2,20.0,True,0.5484048552455539,0.6162200920937848,0.5181144455036794,0.7331419709895495,0.9786686011445116,0.9512241904678668,0.9005661436006294,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,21,macro_f1,0.5497121422922565,41,226.13409876823425,0.8373228682032887,,,,,500.0,5.0,2.0,,,True,0.5594921052976799,0.5858245500656957,0.5497121422922565,0.8897251073267006,0.991714379563256,0.9074345911608108,0.8435443478010014,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,22,macro_f1,0.5292589344173397,41,221.85936737060547,0.8384948680612281,,,,,500.0,2.0,1.0,,40.0,True,0.5528173077613465,0.5473937645361072,0.5292589344173397,0.8903240434086246,0.9935788651511576,0.8939612909725603,0.8562347691343252,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,23,macro_f1,0.5293937260053723,41,24.623886346817017,0.8016479028305572,,,,,200.0,5.0,2.0,log2,40.0,True,0.5457513489405187,0.5632861629879401,0.5293937260053723,0.8683106402140979,0.9921883538485076,0.9412721987645364,0.8750849019883398,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,24,macro_f1,0.5304370326400042,41,47.50920248031616,0.8149305678872039,,,,,300.0,10.0,1.0,sqrt,30.0,True,0.5503281930463603,0.5593727922694492,0.5304370326400042,0.8765258755168263,0.9932932412472584,0.9234178830786968,0.8750035208724375,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,25,macro_f1,0.5188852543495919,41,94.85617065429688,0.6393081649323437,,,,,700.0,5.0,1.0,sqrt,20.0,True,0.545267300745229,0.6120503810705608,0.5188852543495919,0.7562013775122357,0.9815858299815022,0.9440248147335328,0.8989965989589428,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,26,macro_f1,0.5206340624386477,41,27.302205562591556,0.6384025286784814,,,,,200.0,2.0,1.0,sqrt,20.0,True,0.553612332364097,0.6064988731792075,0.5206340624386477,0.7554527024282411,0.9815100256123772,0.9334911221767171,0.8972474956639119,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,27,macro_f1,0.527746276148796,41,36.50418281555176,0.7411300919842313,,,,,300.0,10.0,4.0,sqrt,30.0,True,0.5492467903481483,0.577809052580523,0.527746276148796,0.8295041179623899,0.988029913791122,0.9441386947685656,0.8868683099047602,,,,,,,,,,,,,
random_forest,multiclass,time_ablated,28,macro_f1,0.5074285040955773,41,65.40195727348328,0.5157332102141563,,,,,700.0,2.0,2.0,log2,10.0,True,0.5524497117029098,0.6355406857267648,0.5074285040955773,0.6523940473525012,0.968742003965592,0.950101759256076,0.899850569462507,,,,,,,,,,,,,
