model,task,benchmark,config_id,objective_metric,objective_score,n_features,runtime_seconds,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap
random_forest,multiclass,time_ablated,11,macro_f1,0.5216528374970036,41,127.05950903892517,0.6644351315836204,0.5456111276459893,0.6176457016779222,0.5216528374970036,0.7752086237612769,0.9831988463439685,0.9303315089169816,0.896299141555049,300,5,2,,20.0,True
random_forest,multiclass,time_ablated,12,macro_f1,0.5311615972436118,41,28.030565977096558,0.8346414745889121,0.5535905216733222,0.5516401538034252,0.5311615972436118,0.8880739982461874,0.9928939475616156,0.8890316275123377,0.8514944382907171,200,2,1,log2,40.0,True
random_forest,multiclass,time_ablated,13,macro_f1,0.5397889707164479,41,32.576563596725464,0.7476116063501084,0.5596588528955347,0.5927984965395496,0.5397889707164479,0.8338260343436219,0.9884379433897678,0.953345339241436,0.8824178203758404,300,5,4,log2,40.0,True
random_forest,multiclass,time_ablated,14,macro_f1,0.5211581538263995,41,48.967769384384155,0.5157332102141563,0.5639026028567874,0.6567345024542915,0.5211581538263995,0.6523478013408092,0.9689716655149929,0.9566840872217889,0.9000800073503454,500,10,2,sqrt,10.0,True
random_forest,multiclass,time_ablated,15,macro_f1,0.5178181513657628,41,84.36824345588684,0.6167915616010229,0.5467587337651368,0.6137409229196044,0.5178181513657628,0.7385656376955618,0.9793232080029367,0.9481555587721369,0.900202684870614,700,5,2,sqrt,20.0,True
random_forest,multiclass,time_ablated,16,macro_f1,0.5273786088133978,41,21.871994256973267,0.7291614873743651,0.5519307833996225,0.5786217081297874,0.5273786088133978,0.8214385255078214,0.9869760686880511,0.9544631229376622,0.8865521636130094,200,5,4,log2,30.0,True
random_forest,multiclass,time_ablated,17,macro_f1,0.5160044185680359,41,88.46657490730286,0.8287814752992151,0.5023032222440835,0.5610343089011691,0.5160044185680359,0.8847044560230702,0.9921772878513071,0.9144824619132917,0.8528421634511155,200,2,4,,,True
random_forest,multiclass,time_ablated,18,macro_f1,0.5069926313467626,41,28.30140256881714,0.5156621799197357,0.5544246616107389,0.6339861938245177,0.5069926313467626,0.652287240828238,0.9687167306252489,0.9572335905390114,0.8999106414289956,300,10,2,log2,10.0,True
random_forest,multiclass,time_ablated,19,macro_f1,0.5122495696817203,41,166.02257990837097,0.5757538089995383,0.514891428032786,0.6593070402762137,0.5122495696817203,0.7049657466129132,0.9717592896695774,0.947556520305871,0.9002611984711281,500,10,4,,10.0,True
random_forest,multiclass,time_ablated,20,macro_f1,0.5181144455036794,41,58.7298059463501,0.6100259260574635,0.5484048552455539,0.6162200920937848,0.5181144455036794,0.7331419709895495,0.9786686011445116,0.9512241904678668,0.9005661436006294,500,5,2,log2,20.0,True
random_forest,multiclass,time_ablated,21,macro_f1,0.5497121422922565,41,226.13409876823425,0.8373228682032887,0.5594921052976799,0.5858245500656957,0.5497121422922565,0.8897251073267006,0.9917143795632559,0.9074345911608109,0.8435443478010014,500,5,2,,,True
random_forest,multiclass,time_ablated,22,macro_f1,0.5292589344173397,41,221.85936737060547,0.8384948680612281,0.5528173077613465,0.5473937645361072,0.5292589344173397,0.8903240434086246,0.9935788651511575,0.8939612909725603,0.8562347691343252,500,2,1,,40.0,True
random_forest,multiclass,time_ablated,23,macro_f1,0.5293937260053723,41,24.623886346817017,0.8016479028305572,0.5457513489405187,0.5632861629879401,0.5293937260053723,0.8683106402140979,0.9921883538485076,0.9412721987645364,0.8750849019883398,200,5,2,log2,40.0,True
random_forest,multiclass,time_ablated,24,macro_f1,0.5304370326400042,41,47.50920248031616,0.8149305678872039,0.5503281930463603,0.5593727922694492,0.5304370326400042,0.8765258755168263,0.9932932412472585,0.9234178830786967,0.8750035208724375,300,10,1,sqrt,30.0,True
random_forest,multiclass,time_ablated,25,macro_f1,0.5188852543495919,41,94.85617065429688,0.6393081649323437,0.545267300745229,0.6120503810705608,0.5188852543495919,0.7562013775122357,0.9815858299815022,0.9440248147335327,0.8989965989589428,700,5,1,sqrt,20.0,True
random_forest,multiclass,time_ablated,26,macro_f1,0.5206340624386477,41,27.302205562591553,0.6384025286784814,0.553612332364097,0.6064988731792075,0.5206340624386477,0.7554527024282411,0.9815100256123773,0.9334911221767171,0.8972474956639119,200,2,1,sqrt,20.0,True
random_forest,multiclass,time_ablated,27,macro_f1,0.527746276148796,41,36.50418281555176,0.7411300919842313,0.5492467903481483,0.577809052580523,0.527746276148796,0.8295041179623899,0.9880299137911221,0.9441386947685656,0.8868683099047602,300,10,4,sqrt,30.0,True
random_forest,multiclass,time_ablated,28,macro_f1,0.5074285040955773,41,65.40195727348328,0.5157332102141563,0.5524497117029098,0.6355406857267648,0.5074285040955773,0.6523940473525012,0.968742003965592,0.950101759256076,0.899850569462507,700,2,2,log2,10.0,True
random_forest,multiclass,time_ablated,29,macro_f1,0.5412691440238543,41,33.26381039619446,0.7516425755584757,0.5606372604206679,0.594461654270502,0.5412691440238543,0.836507708575873,0.9887887411096165,0.9530874512817179,0.8823665950010242,300,10,4,log2,,True
random_forest,multiclass,time_ablated,30,macro_f1,0.5315111266564159,41,29.611623287200928,0.8341442625279681,0.5472024338704026,0.558073032839698,0.5315111266564159,0.887864152654323,0.9930450442159718,0.9088393786424255,0.8544409645090713,200,5,1,sqrt,40.0,True
