accuracy,balanced_accuracy,precision,recall,f1_score,false_positive_rate,roc_auc,pr_auc,confusion_matrix,confusion_matrix_labels,threshold_percentile,threshold,model,seed
0.910342010867635,0.6024063554701576,0.23680415344678396,0.25465260545905705,0.24540427439844567,0.04983989451874176,0.6919091258254745,0.1745704075135287,"[[50444, 2646], [2403, 821]]","['Normal (0)', 'Attack (1)']",95,0.16887434314155014,isolation_forest,7
0.9148879497105515,0.48609721915170967,0.003795066413662239,0.0018610421836228288,0.002497398543184183,0.029666603880203427,0.6919091258254745,0.1745704075135287,"[[51515, 1575], [3218, 6]]","['Normal (0)', 'Attack (1)']",97,0.18253736437892618,isolation_forest,7
0.9343502503817879,0.4961279759498244,0.008316008316008316,0.0012406947890818859,0.0021592442645074223,0.008984742889433038,0.6919091258254745,0.1745704075135287,"[[52613, 477], [3220, 4]]","['Normal (0)', 'Attack (1)']",99,0.21806244010347806,isolation_forest,7
0.7896260254998757,0.6996384481242817,0.15449955925955605,0.598014888337469,0.24555817359740176,0.19873799208890564,0.7080320878166062,0.23553355025237122,"[[42539, 10551], [1296, 1928]]","['Normal (0)', 'Attack (1)']",80,-0.1316592007900757,isolation_forest,21
0.8355471108427744,0.7180208931693781,0.19233513403322802,0.5852977667493796,0.28952819332566165,0.14925598041062346,0.7080320878166062,0.23553355025237122,"[[45166, 7924], [1337, 1887]]","['Normal (0)', 'Attack (1)']",85,-0.08859209083317088,isolation_forest,21
0.8810420144191498,0.7316615716931827,0.2554539057002111,0.5629652605459057,0.3514376996805112,0.0996421171595404,0.7080320878166062,0.23553355025237122,"[[47800, 5290], [1409, 1815]]","['Normal (0)', 'Attack (1)']",90,0.00991833472789487,isolation_forest,21
0.8956920126433924,0.7009748124234936,0.2696453407510431,0.4810794044665012,0.34558823529411764,0.07912977961951403,0.7080320878166062,0.23553355025237122,"[[48889, 4201], [1673, 1551]]","['Normal (0)', 'Attack (1)']",92,0.14780834754161365,isolation_forest,21
0.9104307987356608,0.6027447830758854,0.23744950952106175,0.255272952853598,0.2460388639760837,0.04978338670182709,0.7080320878166062,0.23553355025237122,"[[50447, 2643], [2401, 823]]","['Normal (0)', 'Attack (1)']",95,0.17020059189265357,isolation_forest,21
0.9287743722697731,0.6098515057300048,0.3358364622444723,0.24968982630272954,0.286425902864259,0.02998681484271991,0.7080320878166062,0.23553355025237122,"[[51498, 1592], [2419, 805]]","['Normal (0)', 'Attack (1)']",97,0.1858482101205604,isolation_forest,21
0.933373583833505,0.4969210075404517,0.023465703971119134,0.004032258064516129,0.006881948120698782,0.010190242983612733,0.7080320878166062,0.23553355025237122,"[[52549, 541], [3211, 13]]","['Normal (0)', 'Attack (1)']",99,0.21190353162669165,isolation_forest,21
0.7902652981496608,0.696918448563631,0.15377792113539232,0.591501240694789,0.244096,0.19766434356752685,0.7030791268350435,0.2369190944682862,"[[42596, 10494], [1317, 1907]]","['Normal (0)', 'Attack (1)']",80,-0.1355620031894577,isolation_forest,100
0.8346769897361225,0.7150830417190341,0.1903114186851211,0.5800248138957816,0.28659003831417623,0.1498587304577133,0.7030791268350435,0.2369190944682862,"[[45134, 7956], [1354, 1870]]","['Normal (0)', 'Attack (1)']",85,-0.08901321238988136,isolation_forest,100
0.8825336506019817,0.730850323459344,0.257751107301043,0.5595533498759305,0.35292966839479606,0.09785270295724242,0.7030791268350435,0.2369190944682862,"[[47895, 5195], [1420, 1804]]","['Normal (0)', 'Attack (1)']",90,0.011096719854469169,isolation_forest,100
0.9002379514863089,0.7336849394749401,0.2975304465493911,0.5455955334987593,0.3850700525394046,0.07822565454887927,0.7030791268350435,0.2369190944682862,"[[48937, 4153], [1465, 1759]]","['Normal (0)', 'Attack (1)']",92,0.1407472210009626,isolation_forest,100
0.9099158291011116,0.6080070793684772,0.24110893307196862,0.2670595533498759,0.25342163355408387,0.05104539461292146,0.7030791268350435,0.2369190944682862,"[[50380, 2710], [2363, 861]]","['Normal (0)', 'Attack (1)']",95,0.17053769846803868,isolation_forest,100
0.9282949177824342,0.6107625715870844,0.33319672131147543,0.2521712158808933,0.2870762711864407,0.03064607270672443,0.7030791268350435,0.2369190944682862,"[[51463, 1627], [2411, 813]]","['Normal (0)', 'Attack (1)']",97,0.19119894022644668,isolation_forest,100
0.9331960080974535,0.4962441523289961,0.01618705035971223,0.002791563275434243,0.004761904761904762,0.01030325861744208,0.7030791268350435,0.2369190944682862,"[[52543, 547], [3215, 9]]","['Normal (0)', 'Attack (1)']",99,0.22185991399215654,isolation_forest,100
0.7888802074084597,0.6977862046143843,0.15342772578193745,0.5949131513647643,0.24394276629570746,0.19934074213599548,0.6980415180551588,0.19679956333052767,"[[42507, 10583], [1306, 1918]]","['Normal (0)', 'Attack (1)']",80,-0.13587315572657716,isolation_forest,2026
0.834002201939127,0.7145794899994251,0.1895153112958832,0.5797146401985112,0.285648784961027,0.15055566019966096,0.6980415180551588,0.19679956333052767,"[[45097, 7993], [1355, 1869]]","['Normal (0)', 'Attack (1)']",85,-0.0912355471526265,isolation_forest,2026
0.8803494690485492,0.7307115953666394,0.2537836322869955,0.5617245657568238,0.3496138996138996,0.10030137502354493,0.6980415180551588,0.19679956333052767,"[[47765, 5325], [1413, 1811]]","['Normal (0)', 'Attack (1)']",90,0.00809843593242765,isolation_forest,2026
0.8938274674148524,0.7014426144189814,0.2656117066530543,0.48418114143920593,0.34303922645863094,0.08129591260124318,0.6980415180551588,0.19679956333052767,"[[48774, 4316], [1663, 1561]]","['Normal (0)', 'Attack (1)']",92,0.13330272239330399,isolation_forest,2026
0.9090634655680648,0.5995432284799398,0.22969506982046167,0.25,0.23941779296004753,0.05091354304012055,0.6980415180551588,0.19679956333052767,"[[50387, 2703], [2418, 806]]","['Normal (0)', 'Attack (1)']",95,0.17608120911966307,isolation_forest,2026
0.928135099619988,0.6039770414208374,0.3254136614340263,0.23790322580645162,0.27486113599713313,0.029949142964776795,0.6980415180551588,0.19679956333052767,"[[51500, 1590], [2457, 767]]","['Normal (0)', 'Attack (1)']",97,0.19196360105156532,isolation_forest,2026
0.9334623717015307,0.4958027463546849,0.009380863039399626,0.0015508684863523574,0.002661698163428267,0.009945375776982483,0.6980415180551588,0.19679956333052767,"[[52562, 528], [3219, 5]]","['Normal (0)', 'Attack (1)']",99,0.21776039751490842,isolation_forest,2026
0.789785843662322,0.7072979915654254,0.15746779067917926,0.6141439205955335,0.25066464109380937,0.1995479374646826,0.7196232391551964,0.17132928389116486,"[[42496, 10594], [1244, 1980]]","['Normal (0)', 'Attack (1)']",80,1.5010420560837012,stacked_autoencoder,42
0.8364349895230315,0.7246098845679443,0.19593702386998477,0.5983250620347395,0.29520238732879334,0.149105292898851,0.7196232391551964,0.17132928389116486,"[[45174, 7916], [1295, 1929]]","['Normal (0)', 'Attack (1)']",85,3.247390198707571,stacked_autoencoder,42
0.8805270447846006,0.7340104904027853,0.25564853556485356,0.5685483870967742,0.3527034827785261,0.10052740629120362,0.7196232391551964,0.17132928389116486,"[[47753, 5337], [1391, 1833]]","['Normal (0)', 'Attack (1)']",90,47.239506530761744,stacked_autoencoder,42
0.8993145576588415,0.7410613245357502,0.2985836627140975,0.5623449131513648,0.39006024096385544,0.08022226407986438,0.7196232391551964,0.17132928389116486,"[[48831, 4259], [1411, 1813]]","['Normal (0)', 'Attack (1)']",92,222.32601745605558,stacked_autoencoder,42
0.8949106794047661,0.47725003003000194,0.006593406593406593,0.005583126550868486,0.006046355391333557,0.05108306649086457,0.7196232391551964,0.17132928389116486,"[[50378, 2712], [3206, 18]]","['Normal (0)', 'Attack (1)']",95,2953.0852294919673,stacked_autoencoder,42
0.9138402528678481,0.48699824774354333,0.00963855421686747,0.004962779156327543,0.006552006552006552,0.030966283669240913,0.7196232391551964,0.17132928389116486,"[[51446, 1644], [3208, 16]]","['Normal (0)', 'Attack (1)']",97,5825.049091796834,stacked_autoencoder,42
0.9337287353056078,0.49725503580931674,0.026119402985074626,0.004342431761786601,0.007446808510638298,0.009832360143153137,0.7196232391551964,0.17132928389116486,"[[52568, 522], [3210, 14]]","['Normal (0)', 'Attack (1)']",99,8617.835703124954,stacked_autoencoder,42
