accuracy,precision,recall,f1_score,false_positive_rate,roc_auc,balanced_accuracy,pr_auc,model,model_display,task,task_display,seed,seed_label,benchmark,n_features,objective_metric,objective_score,training_time_seconds,total_runtime_seconds,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc
0.824286505760516,,,,,,,,random_forest,Random Forest,multiclass,Multiclass,21,Seed 21,time_ablated,41,macro_f1,0.511587252177787,284.49797439575195,284.49797439575195,0.5119425387412372,0.5500341173708677,0.511587252177787,0.9548792973262188,0.824286505760516,0.8819335489991482,0.9914968597102564,0.9401029101146938,0.8505479085972428
0.8271845211881863,,,,,,,,random_forest,Random Forest,multiclass,Multiclass,100,Seed 100,time_ablated,41,macro_f1,0.564065334028636,313.7654657363892,313.7654657363892,0.5573419045579805,0.6095379652782401,0.564065334028636,0.955232701094998,0.8271845211881863,0.8837901292748767,0.9915050783549478,0.9345843346886334,0.8485243142362132
0.8298410353302175,,,,,,,,random_forest,Random Forest,multiclass,Multiclass,2026,Seed 2026,time_ablated,41,macro_f1,0.5174994715356699,343.80340337753296,343.80340337753296,0.5369345326615867,0.5366823730761001,0.5174994715356699,0.9545541890180486,0.8298410353302175,0.8852323742249351,0.991661857377985,0.8999659004120405,0.8493601412541941
0.6141377693804781,,,,,,,,xgboost,XGBoost,multiclass,Multiclass,42,Seed 42,time_ablated,41,macro_f1,0.5576876108615114,140.2480230331421,140.2480230331421,0.5906638952780551,0.6398114733722319,0.5576876108615114,0.9675435804461772,0.6141377693804781,0.7364425091038191,0.9788169825872536,0.963980650084494,0.8958996659315732
0.6076456465841774,,,,,,,,xgboost,XGBoost,multiclass,Multiclass,7,Seed 7,time_ablated,41,macro_f1,0.4681980465392009,134.40364456176758,134.40364456176758,0.4600829354247189,0.6000749708604737,0.4681980465392009,0.9680212382802248,0.6076456465841774,0.731258195973933,0.9784326122190908,0.971713931784064,0.8991102619100908
0.6145071242879263,,,,,,,,xgboost,XGBoost,multiclass,Multiclass,21,Seed 21,time_ablated,41,macro_f1,0.5007062575617705,151.2389714717865,151.2389714717865,0.5060521798964737,0.5979505498940865,0.5007062575617705,0.967548343127308,0.6145071242879263,0.7367026595656957,0.9784263233661036,0.9510583555796116,0.897465293738673
0.6112113420368502,,,,,,,,xgboost,XGBoost,multiclass,Multiclass,100,Seed 100,time_ablated,41,macro_f1,0.592697746717434,131.24089360237122,131.24089360237122,0.6063602238835711,0.684388848281103,0.592697746717434,0.967131957495476,0.6112113420368502,0.7342594956687373,0.97842055800629,0.969400767211582,0.8943457947334361
0.6086542696006705,,,,,,,,xgboost,XGBoost,multiclass,Multiclass,2026,Seed 2026,time_ablated,41,macro_f1,0.5037917924353473,136.76670908927915,136.76670908927915,0.5344786553852553,0.5887801024384126,0.5037917924353473,0.9678724570380548,0.6086542696006705,0.7320081328696998,0.9785229680875908,0.9625118689090408,0.8959128931819652
0.9744292756382028,,,,,,,,mlp,MLP,multiclass,Multiclass,42,Seed 42,time_ablated,41,macro_f1,0.3742601724722965,22.096769094467163,22.096769094467163,0.4477239257208605,0.3456730442481587,0.3742601724722965,0.950670589336988,0.9744292756382028,0.9622020179101752,0.9989154274420436,0.97207684660604,0.8979064356774902
0.9744292756382028,,,,,,,,mlp,MLP,multiclass,Multiclass,7,Seed 7,time_ablated,41,macro_f1,0.3737989416537062,32.004053354263306,32.004053354263306,0.4362499413157623,0.3476455734793223,0.3737989416537062,0.9506269070072074,0.9744292756382028,0.9622196701205682,0.9989217654539276,0.9715132851670676,0.899110361403042
0.9743866577642664,,,,,,,,mlp,MLP,multiclass,Multiclass,21,Seed 21,time_ablated,41,macro_f1,0.3168860498724115,25.398351907730103,25.398351907730103,0.3712607619059067,0.3111171973899209,0.3168860498724115,0.95090898402631,0.9743866577642664,0.9622576652169668,0.9989098908605256,0.9723876919621782,0.8975516864189526
0.9743582458483088,,,,,,,,mlp,MLP,multiclass,Multiclass,100,Seed 100,time_ablated,41,macro_f1,0.3674182831856771,18.39629077911377,18.39629077911377,0.4035741576731946,0.3796381484404171,0.3674182831856771,0.9506572672933284,0.9743582458483088,0.9621536563177489,0.998854281553322,0.9706335683520776,0.8923578891607269
0.9742588041424574,,,,,,,,mlp,MLP,multiclass,Multiclass,2026,Seed 2026,time_ablated,41,macro_f1,0.3379090191060046,25.83264398574829,25.83264398574829,0.3946825798333718,0.3764081337070104,0.3379090191060046,0.9507897932457936,0.9742588041424574,0.9620478665279844,0.9988739971145922,0.970180238379794,0.894451755108331
