accuracy,precision,recall,f1_score,false_positive_rate,roc_auc,balanced_accuracy,pr_auc,benchmark,benchmark_display,model,model_display,task,task_display,seed,expected_features,n_features,objective_metric,objective_score,training_time_seconds,total_runtime_seconds,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,micro_roc_auc,macro_roc_auc,weighted_roc_auc
0.824286506,,,,,,,,time_ablated,Time-ablated,random_forest,Random Forest,multiclass,Multiclass,21,41,41,macro_f1,0.511587252,285.8857229,285.8857229,0.511942539,0.550034117,0.511587252,0.954879297,0.824286506,0.881933549,0.99149686,0.94010291,0.850547909
0.827184521,,,,,,,,time_ablated,Time-ablated,random_forest,Random Forest,multiclass,Multiclass,100,41,41,macro_f1,0.564065334,286.5316391,286.5316391,0.557341905,0.609537965,0.564065334,0.955232701,0.827184521,0.883790129,0.991505078,0.934584335,0.848524314
0.829841035,,,,,,,,time_ablated,Time-ablated,random_forest,Random Forest,multiclass,Multiclass,2026,41,41,macro_f1,0.517499472,305.9770882,305.9770882,0.536934533,0.536682373,0.517499472,0.954554189,0.829841035,0.885232374,0.991661857,0.8999659,0.849360141
0.976162403,,,,,,,,full_features,Full-features,xgboost,XGBoost,multiclass,Multiclass,42,49,49,macro_f1,0.852977394,143.9635353,143.9635353,0.826760744,0.932465505,0.852977394,0.987429067,0.976162403,0.979792701,0.999895012,0.998712758,0.995425783
0.975125368,,,,,,,,full_features,Full-features,xgboost,XGBoost,multiclass,Multiclass,7,49,49,macro_f1,0.840225994,143.4221175,143.4221175,0.840293728,0.889333825,0.840225994,0.987221081,0.975125368,0.979033278,0.999887357,0.998663564,0.995198092
0.9756794,,,,,,,,full_features,Full-features,xgboost,XGBoost,multiclass,Multiclass,21,49,49,macro_f1,0.893633888,144.9357805,144.9357805,0.847424575,0.967288554,0.893633888,0.987279301,0.9756794,0.979420755,0.999893582,0.998682988,0.9954223
0.976133991,,,,,,,,full_features,Full-features,xgboost,XGBoost,multiclass,Multiclass,100,49,49,macro_f1,0.90906955,142.6897607,142.6897607,0.872413058,0.967280478,0.90906955,0.987460445,0.976133991,0.979784937,0.999894299,0.998753846,0.99549074
0.976048755,,,,,,,,full_features,Full-features,xgboost,XGBoost,multiclass,Multiclass,2026,49,49,macro_f1,0.891322323,145.7933061,145.7933061,0.879833031,0.938054724,0.891322323,0.987536206,0.976048755,0.979742216,0.999894132,0.998748346,0.995431948
0.614137769,,,,,,,,time_ablated,Time-ablated,xgboost,XGBoost,multiclass,Multiclass,42,41,41,macro_f1,0.557687611,154.0948348,154.0948348,0.590663895,0.639811473,0.557687611,0.96754358,0.614137769,0.736442509,0.978816983,0.96398065,0.895899666
0.607645647,,,,,,,,time_ablated,Time-ablated,xgboost,XGBoost,multiclass,Multiclass,7,41,41,macro_f1,0.468198047,144.0653074,144.0653074,0.460082935,0.600074971,0.468198047,0.968021238,0.607645647,0.731258196,0.978432612,0.971713932,0.899110262
0.614507124,,,,,,,,time_ablated,Time-ablated,xgboost,XGBoost,multiclass,Multiclass,21,41,41,macro_f1,0.500706258,138.5132504,138.5132504,0.50605218,0.59795055,0.500706258,0.967548343,0.614507124,0.73670266,0.978426323,0.951058356,0.897465294
0.611211342,,,,,,,,time_ablated,Time-ablated,xgboost,XGBoost,multiclass,Multiclass,100,41,41,macro_f1,0.592697747,132.7057483,132.7057483,0.606360224,0.684388848,0.592697747,0.967131957,0.611211342,0.734259496,0.978420558,0.969400767,0.894345795
0.60865427,,,,,,,,time_ablated,Time-ablated,xgboost,XGBoost,multiclass,Multiclass,2026,41,41,macro_f1,0.503791792,133.5966072,133.5966072,0.534478655,0.588780102,0.503791792,0.967872457,0.60865427,0.732008133,0.978522968,0.962511869,0.895912893
0.978137031,,,,,,,,full_features,Full-features,mlp,MLP,multiclass,Multiclass,42,49,49,macro_f1,0.36419571,21.02624369,21.02624369,0.422235457,0.342776479,0.36419571,0.976669122,0.978137031,0.977183216,0.999897342,0.997501223,0.994967267
0.977000554,,,,,,,,full_features,Full-features,mlp,MLP,multiclass,Multiclass,7,49,49,macro_f1,0.375859392,33.67107487,33.67107487,0.437163252,0.3577699,0.375859392,0.978233901,0.977000554,0.97734348,0.999880539,0.995931338,0.994614808
0.977966559,,,,,,,,full_features,Full-features,mlp,MLP,multiclass,Multiclass,21,49,49,macro_f1,0.362928778,30.07753563,30.07753563,0.427318321,0.347554104,0.362928778,0.976391669,0.977966559,0.976874686,0.99989823,0.998052316,0.994976332
0.977114202,,,,,,,,full_features,Full-features,mlp,MLP,multiclass,Multiclass,100,49,49,macro_f1,0.34953857,27.15391207,27.15391207,0.415121355,0.329167194,0.34953857,0.974382266,0.977114202,0.975330684,0.999890978,0.996295836,0.994576939
0.97842115,,,,,,,,full_features,Full-features,mlp,MLP,multiclass,Multiclass,2026,49,49,macro_f1,0.343737147,18.82024622,18.82024622,0.418141784,0.333938412,0.343737147,0.977872563,0.97842115,0.977831346,0.99989258,0.996015636,0.9949264
0.974429276,,,,,,,,time_ablated,Time-ablated,mlp,MLP,multiclass,Multiclass,42,41,41,macro_f1,0.374260172,25.72609496,25.72609496,0.447723926,0.345673044,0.374260172,0.950670589,0.974429276,0.962202018,0.998915427,0.972076847,0.897906436
0.974429276,,,,,,,,time_ablated,Time-ablated,mlp,MLP,multiclass,Multiclass,7,41,41,macro_f1,0.373798942,38.05614352,38.05614352,0.436249941,0.347645573,0.373798942,0.950626907,0.974429276,0.96221967,0.998921765,0.971513285,0.899110361
0.974386658,,,,,,,,time_ablated,Time-ablated,mlp,MLP,multiclass,Multiclass,21,41,41,macro_f1,0.31688605,28.93347836,28.93347836,0.371260762,0.311117197,0.31688605,0.950908984,0.974386658,0.962257665,0.998909891,0.972387692,0.897551686
0.974358246,,,,,,,,time_ablated,Time-ablated,mlp,MLP,multiclass,Multiclass,100,41,41,macro_f1,0.367418283,19.48639941,19.48639941,0.403574158,0.379638148,0.367418283,0.950657267,0.974358246,0.962153656,0.998854282,0.970633568,0.892357889
0.974258804,,,,,,,,time_ablated,Time-ablated,mlp,MLP,multiclass,Multiclass,2026,41,41,macro_f1,0.337909019,21.70457506,21.70457506,0.39468258,0.376408134,0.337909019,0.950789793,0.974258804,0.962047867,0.998873997,0.970180238,0.894451755
